datetime,Temperature(°C),Condition,Humidity,Wind Speed(km/h),precip,icon,location
11/10/2024 00:00:00,26.0,Overcast,94.23,3.6,0.0,cloudy,"Quận 1, Hồ Chí Minh"
11/10/2024 01:00:00,26.0,Overcast,94.23,5.4,0.0,cloudy,"Quận 1, Hồ Chí Minh"
11/10/2024 02:00:00,26.0,Clear,94.23,3.6,0.0,clear-night,"Quận 1, Hồ Chí Minh"
11/10/2024 03:00:00,26.0,Partially cloudy,94.23,0.0,0.0,partly-cloudy-night,"Quận 1, Hồ Chí Minh"
11/10/2024 04:00:00,26.0,Partially cloudy,88.75,1.8,0.0,partly-cloudy-night,"Quận 1, Hồ Chí Minh"
11/10/2024 05:00:00,26.0,Overcast,94.23,1.8,0.0,cloudy,"Quận 1, Hồ Chí Minh"
11/10/2024 06:00:00,26.0,Partially cloudy,94.23,5.4,0.0,partly-cloudy-day,"Quận 1, Hồ Chí Minh"
11/10/2024 07:00:00,27.0,Overcast,88.83,3.6,0.0,cloudy,"Quận 1, Hồ Chí Minh"
11/10/2024 08:00:00,29.0,Partially cloudy,83.89,3.6,0.0,partly-cloudy-day,"Quận 1, Hồ Chí Minh"
11/10/2024 09:00:00,30.0,Partially cloudy,74.62,3.6,0.0,partly-cloudy-day,"Quận 1, Hồ Chí Minh"
11/10/2024 10:00:00,31.0,Partially cloudy,74.78,11.2,0.0,partly-cloudy-day,"Quận 1, Hồ Chí Minh"
11/10/2024 11:00:00,31.0,"Rain, Partially cloudy",70.47,9.4,0.3,rain,"Quận 1, Hồ Chí Minh"
11/10/2024 12:00:00,33.0,"Rain, Partially cloudy",62.92,7.6,1.0,rain,"Quận 1, Hồ Chí Minh"
11/10/2024 13:00:00,34.0,"Rain, Partially cloudy",59.49,5.4,2.6,rain,"Quận 1, Hồ Chí Minh"
11/10/2024 14:00:00,31.0,Partially cloudy,70.47,18.4,0.0,partly-cloudy-day,"Quận 1, Hồ Chí Minh"
